#,App name,Category,Active,Link,Dataset
61,Ninja Magic War,Adventure Games,1,http://apk.support/app/com.farewellgames.ninjamagicwar2,Our Dataset
62,Saiyan KO Arena - Tourney Champion Z,Action Games,1,http://apk.support/app/com.farmergame.saiyankoarena,Our Dataset
63,Fields Of Justice Champions Battle,Action Games,1,http://apk.support/app/com.fieldsofjustice.championsbattle,Our Dataset
64,God Of Universe Crusader,Action Games,1,http://apk.support/app/com.fighter.godofuniversecrusader,Our Dataset
65,Fireboy Couple : The Ice Temple Save Watergirl,Puzzle Games,1,http://apk.support/app/com.fireandicecouple.theicetemple,Our Dataset
66,FireBoy Hero: Light Puzzle,Puzzle Games,1,http://apk.support/app/com.fireflygames.fireherolightpuzzle2,Our Dataset
67,Fire & Ice Couple The Light Temple,Puzzle Games,1,http://apk.support/app/com.fireicecouple.thelighttemple,Our Dataset
68,Football Captain World Tournament,Strategy Games,1,http://apk.support/app/com.footballcaptain.worldtournament,Our Dataset
69,Frontier Knight Evil Dr Robo,Adventure Games,1,http://apk.support/app/com.frontierknight.evildrrobo,Our Dataset
70,64STREET Classic Fighting,Action Games,1,http://apk.support/app/com.game64street.classicfighting,Our Dataset
71,Z64: Nin64 Emulator (N64),Arcade Games,1,http://apk.support/app/com.gamez64.nin64emulator,Our Dataset
72,Uchiha Battle,Arcade Games,1,http://apk.support/app/com.gammastudio.uchihabattle,Our Dataset
73,GBC Deluxe Emulator,Entertainment,1,http://apk.support/app/com.gbcdeluxe.emulatorforandroid,Our Dataset
74,Dragon Of Diamond,Action Games,1,http://apk.support/app/com.greatdbzgames.dragonofdiamond,Our Dataset
75,,,0,http://apk.support/app/com.gunsmoke.legendshooting,Our Dataset
76,Hokage Unlimited Heroes,Action Games,1,http://apk.support/app/com.hokage.unlimitedheroes,Our Dataset
77,Boru Fight - Next Kage Generation,Adventure Games,1,http://apk.support/app/com.hopkins.borutofights,Our Dataset
78,Hotboy And IceGirl: Temple In Forest,Puzzle Games,1,http://apk.support/app/com.hotboyandicegirl.templeinforest,Our Dataset
79,Hotboy And IceGirl: Temple In Forest,Puzzle Games,1,http://apk.support/app/com.hotboyandicegirl.templeinforest2,Our Dataset
80,Hotboy And IceGirl: Temple In Forest,Puzzle Games,1,http://apk.support/app/com.hotboyandicegirl.templeinforest3,Our Dataset
81,,,0,http://apk.support/app/com.jackalshooting.supersoliders,Our Dataset
82,Moba Offline: Monster VS Hero,Action Games,1,http://apk.support/app/com.johnslabs.superwarriorsmoba,Our Dataset
83,Jojo VS Ninja: Battle 3v3,Action Games,1,http://apk.support/app/com.jojovsninja.battle,Our Dataset
84,Fighting Super Stars Ultimate,Arcade Games,1,http://apk.support/app/com.jumpsuperstars.ultimatebattle,Our Dataset
85,Power Fighters Warrior : Super Saiyan Tenkai Buko,Action Games,1,http://apk.support/app/com.karolinagames.powerfighters,Our Dataset
86,Power Fighters Warrior : Super Dragon Tenkai Buko,Arcade Games,1,http://apk.support/app/com.karolinagames.powerfighters2,Our Dataset
87,Kid Icarus Angel Land,Arcade Games,1,http://apk.support/app/com.kidicarus.angelland,Our Dataset
88,Endless Ring,Adventure Games,1,http://apk.support/app/com.kimmesegames.endlessring,Our Dataset
89,Kingdom Guardian Rush Wars,Strategy Games,1,http://apk.support/app/com.kingdomguardian.rushwars,Our Dataset
90,Kingdom Of Bowmans: Magic Arrow,Strategy Games,1,http://apk.support/app/com.kingdomofbowmans.magicarrow,Our Dataset
91,The King Of Dragon Arena,Arcade Games,1,http://apk.support/app/com.kingofsaiyan.dragonarena,Our Dataset
92,,,0,http://apk.support/app/com.kingofuniversefighters.ultrainstinct,Our Dataset
93,Kiss On The Beach Lovely Girl,Dating,1,http://apk.support/app/com.kissonthebeach.lovelygirl,Our Dataset
94,Knuckles Advance Megamix,Arcade Games,1,http://apk.support/app/com.knucklesadvance.megamix,Our Dataset
95,Zen Exhibition March,Casual Games,1,http://apk.support/app/com.kog.zenexhibitionmarch,Our Dataset
96,League Of Justice: Anime Warriors,Action Games,1,http://apk.support/app/com.leagueofjustice.animewarriors,Our Dataset
97,League Of Justice: Anime Warriors,Strategy Games,1,http://apk.support/app/com.leagueofjustice.animewarriors2,Our Dataset
98,League Of Justice Anime Warriors,Simulation Games,1,http://apk.support/app/com.leagueofjustice.animewarriorsreturn,Our Dataset
